add_1,add_2,area,population,aver_old,under_15,15_65,over_65,rate_sex
三重県,松阪市,623.66 ,262.7,47.2 ,13.1 ,58.8 ,28.1 ,92.1 
三重県,桑名市,136.68 ,"1,026.5",45.2 ,14.0 ,61.0 ,25.0 ,96.1 
三重県,鈴鹿市,194.46 ,"1,010.0",44.6 ,14.1 ,62.0 ,23.9 ,98.6 
三重県,名張市,129.77 ,607.2,47.2 ,12.8 ,58.9 ,28.2 ,92.7 
三重県,尾鷲市,192.71 ,93.5,54.4 ,9.8 ,49.2 ,41.1 ,87.1 
三重県,亀山市,191.04 ,263.1,45.3 ,14.2 ,60.7 ,25.1 ,100.8 
三重県,鳥羽市,107.34 ,181.2,51.9 ,10.0 ,54.7 ,35.2 ,87.6 
三重県,熊野市,373.35 ,46.4,54.9 ,10.0 ,48.2 ,41.8 ,84.7 
三重県,いなべ市,219.83 ,208.4,45.7 ,12.9 ,61.5 ,25.6 ,102.8 
三重県,志摩市,178.94 ,281.3,52.8 ,9.9 ,52.8 ,37.4 ,86.4 
三重県,伊賀市,558.23 ,162.3,49.0 ,11.9 ,56.5 ,31.7 ,94.2 
三重県,木曽岬町,15.74 ,403.9,48.9 ,10.3 ,59.5 ,30.2 ,98.4 
三重県,東員町,22.68 ,"1,117.5",46.9 ,13.5 ,58.7 ,27.8 ,95.1 
三重県,菰野町,107.01 ,375.8,45.1 ,14.5 ,60.1 ,25.4 ,94.9 
三重県,朝日町,5.99 ,"1,762.9",40.1 ,21.7 ,58.7 ,19.6 ,98.1 
三重県,川越町,8.73 ,"1,689.8",41.1 ,16.1 ,65.3 ,18.6 ,105.6 
三重県,多気町,103.06 ,144.4,49.4 ,12.9 ,55.5 ,31.6 ,95.7 
三重県,明和町,41.04 ,550.3,47.7 ,13.5 ,57.4 ,29.1 ,90.6 
三重県,大台町,362.86 ,26.3,53.4 ,10.3 ,49.9 ,39.8 ,89.7 
三重県,玉城町,40.91 ,377.2,45.5 ,15.1 ,59.0 ,25.9 ,92.3 
三重県,度会町,134.98 ,61.6,49.5 ,12.2 ,56.0 ,31.8 ,91.7 
三重県,大紀町,233.32 ,38.3,56.7 ,8.5 ,46.2 ,45.3 ,88.0 
三重県,南伊勢町,241.89 ,52.9,58.9 ,6.7 ,44.2 ,49.1 ,87.7 
三重県,紀北町,256.53 ,63.7,55.4 ,9.3 ,48.4 ,42.3 ,86.5 
三重県,御浜町,88.13 ,99.2,52.6 ,12.0 ,50.5 ,37.5 ,87.2 
三重県,紀宝町,79.62 ,140.8,50.4 ,12.4 ,53.7 ,33.9 ,87.2 
滋賀県,滋賀県,"4,017.38 ",351.7,44.5 ,14.5 ,61.3 ,24.2 ,97.3 
滋賀県,大津市,464.51 ,734.0,44.9 ,14.1 ,61.3 ,24.6 ,93.5 
滋賀県,彦根市,196.87 ,577.4,44.2 ,14.2 ,62.4 ,23.4 ,97.4 
滋賀県,長浜市,681.02 ,173.6,46.1 ,13.9 ,59.2 ,26.9 ,95.4 
滋賀県,近江八幡市,177.45 ,458.2,45.2 ,14.5 ,59.8 ,25.6 ,96.0 
滋賀県,草津市,67.82 ,"2,023.7",41.7 ,14.7 ,65.2 ,20.0 ,104.5 
滋賀県,守山市,55.74 ,"1,432.7",42.1 ,17.3 ,61.8 ,20.9 ,97.0 
滋賀県,栗東市,52.69 ,"1,266.8",40.0 ,18.4 ,64.0 ,17.6 ,98.9 
滋賀県,甲賀市,481.62 ,188.7,45.7 ,13.8 ,60.5 ,25.7 ,98.3 
滋賀県,野洲市,80.14 ,622.5,44.3 ,14.9 ,60.9 ,24.3 ,97.6 
滋賀県,湖南市,70.40 ,771.2,43.4 ,14.1 ,64.4 ,21.5 ,107.4 
